Date,Close/Last,Volume,Open,High,Low
05/07/2024,2324.20,186868,2334.80,2338.70,2318.20
05/06/2024,2331.20,188984,2312.80,2341.90,2300.60
05/03/2024,2308.60,226187,2313.50,2330.70,2285.20
05/02/2024,2309.60,181818,2329.90,2336.10,2294.30
05/01/2024,2311.00,215271,2298.20,2339.50,2291.70
04/30/2024,2302.90,221866,2347.00,2347.60,2296.20
04/29/2024,2357.70,179984,2347.60,2358.90,2331.00
04/26/2024,2347.20,163124,2344.20,2364.40,2338.00
04/25/2024,2342.50,218190,2327.40,2357.60,2316.40
04/24/2024,2338.40,178250,2335.70,2350.90,2324.80
04/23/2024,2342.10,261999,2342.30,2347.90,2304.60
04/22/2024,2346.40,256123,2403.70,2404.30,2338.20
04/19/2024,2413.80,264374,2394.00,2433.30,2386.80
04/18/2024,2398.00,195493,2377.90,2408.00,2377.20
04/17/2024,2388.40,279551,2398.00,2412.00,2370.70
04/16/2024,2407.80,290700,2399.10,2414.80,2379.20
04/15/2024,2383.00,336608,2369.40,2404.30,2340.20
04/12/2024,2374.10,463075,2389.40,2448.80,2350.60
04/11/2024,2372.70,247444,2351.70,2395.60,2343.10
04/10/2024,2348.40,342343,2372.40,2378.10,2337.10
04/09/2024,2362.40,270153,2358.10,2384.50,2355.70
04/08/2024,2351.00,276104,2343.60,2372.50,2321.70
